ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
55228,2018,OH,236.0,0.1028,Electric Utility,GAS,212537.0,2136298.0,126437.0,1189.785,0,0,0
2917,2018,OH,138.1,0.0006,Electric Utility,GAS,720.0,0.0,0.0,0.0,0,0,0
56848,2018,OH,67.0,0.5058,IPP CHP,COAL,296868.0,1600931.0,93566.0,630.357,0,0,0
2850,2018,OH,2451.6,0.0967,Electric Utility,COAL,2077525.0,21784420.0,2235081.0,2151.676,0,0,0
6031,2018,OH,689.3,0.2422,Electric Utility,COAL,1462169.0,16447897.0,1687220.0,2307.831,0,0,0
2921,2018,OH,33.7,0.0,Electric Utility,OIL,0.0,0.0,0.0,0.0,0,0,0
55110,2018,OH,692.0,0.0894,Electric Utility,GAS,541948.0,7121245.0,423182.0,1561.708,0,0,0
2832,2018,OH,1444.0,0.4276,IPP Non-CHP,COAL,5409444.0,53116186.0,5449713.0,2014.888,0,0,0
57822,2018,OH,67.0,0.5966,IPP CHP,COAL,350176.0,1870662.0,109331.0,624.434,0,0,0
59326,2018,OH,543.9,0.4735,IPP Non-CHP,GAS,2255806.0,13144753.0,781174.0,692.59,0,0,0
2861,2018,OH,292.6,0.0,IPP Non-CHP,OIL,-329.0,719.0,59.0,0.0,0,0,0
2848,2018,OH,446.6,0.0,Electric Utility,GAS,-461.0,1624.0,95.0,0.0,0,0,0
7783,2018,OH,32.0,0.0128,Electric Utility,GAS,3592.0,23949.0,1412.0,786.303,0,0,0
7782,2018,OH,32.0,0.0098,Electric Utility,GAS,2733.0,32148.0,1897.0,1388.218,0,0,0
59764,2018,OH,1061.5,0.4882,IPP Non-CHP,GAS,4540015.0,30704919.0,1824744.0,803.849,0,0,0
2935,2018,OH,84.5,0.0422,Electric Utility,GAS,31210.0,490593.0,39005.0,2499.54,0,0,0
2936,2018,OH,55.5,0.0069,Electric Utility,COAL,3369.0,58641.0,5833.0,3462.606,0,0,0
2937,2018,OH,81.1,0.0024,Electric Utility,OIL,1671.0,35105.0,2867.0,3431.209,0,0,0
10244,2018,OH,92.8,0.4474,Industrial CHP,GAS,363680.0,2713048.0,96105.0,528.516,0,0,0
2880,2018,OH,450.0,0.0277,IPP Non-CHP,GAS,109144.0,1408430.0,83701.0,1533.779,0,0,0
7872,2018,OH,594.0,0.0813,Electric Utility,GAS,422754.0,4355180.0,257057.0,1216.105,0,0,0
55401,2018,OH,977.5,0.0924,IPP Non-CHP,GAS,790934.0,8714280.0,517880.0,1309.54,0,0,0
2943,2018,OH,40.0,0.0,Electric Utility,OIL,0.0,0.0,0.0,0.0,0,0,0
